Entity: DNK / SH.DYN.MORT
Year: 1960 | Value: 25
Year: 1961 | Value: 24.5
Year: 1962 | Value: 23.8
Year: 1963 | Value: 23
Year: 1964 | Value: 22.1
Year: 1965 | Value: 21.1
Year: 1966 | Value: 20.1
Year: 1967 | Value: 19
Year: 1968 | Value: 18.1
Year: 1969 | Value: 17.3
Year: 1970 | Value: 16.6
Year: 1971 | Value: 15.8
Year: 1972 | Value: 14.9
Year: 1973 | Value: 13.9
Year: 1974 | Value: 13.1
Year: 1975 | Value: 12.3
Year: 1976 | Value: 11.7
Year: 1977 | Value: 11.1
Year: 1978 | Value: 10.6
Year: 1979 | Value: 10.3
Year: 1980 | Value: 10
Year: 1981 | Value: 9.8
Year: 1982 | Value: 9.6
Year: 1983 | Value: 9.6
Year: 1984 | Value: 9.6
Year: 1985 | Value: 9.7
Year: 1986 | Value: 9.7
Year: 1987 | Value: 9.7
Year: 1988 | Value: 9.6
Year: 1989 | Value: 9.3
Year: 1990 | Value: 8.9
Year: 1991 | Value: 8.4
Year: 1992 | Value: 7.9
Year: 1993 | Value: 7.4
Year: 1994 | Value: 6.9
Year: 1995 | Value: 6.5
Year: 1996 | Value: 6.3
Year: 1997 | Value: 6
Year: 1998 | Value: 5.9
Year: 1999 | Value: 5.7
Year: 2000 | Value: 5.6
Year: 2001 | Value: 5.5
Year: 2002 | Value: 5.4
Year: 2003 | Value: 5.2
Year: 2004 | Value: 5
Year: 2005 | Value: 4.8
Year: 2006 | Value: 4.6
Year: 2007 | Value: 4.5
Year: 2008 | Value: 4.3
Year: 2009 | Value: 4.2
Year: 2010 | Value: 4.1
Year: 2011 | Value: 4.1
Year: 2012 | Value: 4.1
Year: 2013 | Value: 4.1
Year: 2014 | Value: 4.1
Year: 2015 | Value: 4.1
Year: 2016 | Value: 4
Year: 2017 | Value: 4
Year: 2018 | Value: 3.9
Year: 2019 | Value: 3.8
Year: 2020 | Value: 3.7
Year: 2021 | Value: 3.6
Year: 2022 | Value: 3.5
Year: 2023 | Value: 3.4
Remark: Denmark
Remark: Mortality rate, under-5 (per 1,000 live births)
