Entity: CHE / SH.DYN.MORT
Year: 1960 | Value: 26.5
Year: 1961 | Value: 26
Year: 1962 | Value: 25.3
Year: 1963 | Value: 24.5
Year: 1964 | Value: 23.6
Year: 1965 | Value: 22.6
Year: 1966 | Value: 21.6
Year: 1967 | Value: 20.7
Year: 1968 | Value: 19.9
Year: 1969 | Value: 19.2
Year: 1970 | Value: 18.4
Year: 1971 | Value: 17.6
Year: 1972 | Value: 16.7
Year: 1973 | Value: 15.7
Year: 1974 | Value: 14.8
Year: 1975 | Value: 13.8
Year: 1976 | Value: 12.9
Year: 1977 | Value: 12.1
Year: 1978 | Value: 11.4
Year: 1979 | Value: 10.9
Year: 1980 | Value: 10.4
Year: 1981 | Value: 10
Year: 1982 | Value: 9.7
Year: 1983 | Value: 9.4
Year: 1984 | Value: 9.2
Year: 1985 | Value: 9
Year: 1986 | Value: 8.9
Year: 1987 | Value: 8.8
Year: 1988 | Value: 8.6
Year: 1989 | Value: 8.4
Year: 1990 | Value: 8.2
Year: 1991 | Value: 7.8
Year: 1992 | Value: 7.5
Year: 1993 | Value: 7.1
Year: 1994 | Value: 6.7
Year: 1995 | Value: 6.4
Year: 1996 | Value: 6.2
Year: 1997 | Value: 6
Year: 1998 | Value: 5.8
Year: 1999 | Value: 5.7
Year: 2000 | Value: 5.6
Year: 2001 | Value: 5.5
Year: 2002 | Value: 5.4
Year: 2003 | Value: 5.3
Year: 2004 | Value: 5.2
Year: 2005 | Value: 5.1
Year: 2006 | Value: 4.9
Year: 2007 | Value: 4.8
Year: 2008 | Value: 4.7
Year: 2009 | Value: 4.6
Year: 2010 | Value: 4.6
Year: 2011 | Value: 4.5
Year: 2012 | Value: 4.4
Year: 2013 | Value: 4.4
Year: 2014 | Value: 4.3
Year: 2015 | Value: 4.3
Year: 2016 | Value: 4.2
Year: 2017 | Value: 4.1
Year: 2018 | Value: 4.1
Year: 2019 | Value: 4
Year: 2020 | Value: 4
Year: 2021 | Value: 4
Year: 2022 | Value: 4
Year: 2023 | Value: 3.9
Remark: Switzerland
Remark: Mortality rate, under-5 (per 1,000 live births)
