Entity: ATG / SH.STA.MMRT
Year: 1985 | Value: 38
Year: 1986 | Value: 38
Year: 1987 | Value: 40
Year: 1988 | Value: 38
Year: 1989 | Value: 41
Year: 1990 | Value: 41
Year: 1991 | Value: 42
Year: 1992 | Value: 40
Year: 1993 | Value: 40
Year: 1994 | Value: 38
Year: 1995 | Value: 38
Year: 1996 | Value: 37
Year: 1997 | Value: 37
Year: 1998 | Value: 34
Year: 1999 | Value: 34
Year: 2000 | Value: 37
Year: 2001 | Value: 36
Year: 2002 | Value: 36
Year: 2003 | Value: 33
Year: 2004 | Value: 34
Year: 2005 | Value: 33
Year: 2006 | Value: 32
Year: 2007 | Value: 32
Year: 2008 | Value: 31
Year: 2009 | Value: 32
Year: 2010 | Value: 31
Year: 2011 | Value: 31
Year: 2012 | Value: 30
Year: 2013 | Value: 32
Year: 2014 | Value: 32
Year: 2015 | Value: 30
Year: 2016 | Value: 28
Year: 2017 | Value: 31
Year: 2018 | Value: 31
Year: 2019 | Value: 32
Year: 2020 | Value: 35
Year: 2021 | Value: 32
Year: 2022 | Value: 36
Year: 2023 | Value: 35
Remark: Antigua and Barbuda
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
